Date,Open,High,Low,Close,Volume,Market Cap
Oct-28-2016,606.9968464198547,634.062362201398,606.9968464198547,629.0270197479424,93586056.42325294,9936938339.115873
Oct-27-2016,605.8192047133833,607.6948059663658,602.1656989409146,606.893868781845,70280248.24900371,9647572363.16075
Oct-26-2016,597.0097758344049,606.0665270747575,596.7774160358185,605.490908482805,87684189.27016042,9611364202.37462
Oct-25-2016,578.776572851398,598.2631105055674,578.776572851398,597.1699632713091,78505819.83793296,9367865231.583923
Oct-24-2016,575.4082359226488,584.7932833935796,575.3527864252588,578.4720406911296,59388183.08492186,9228383289.90076
Oct-23-2016,578.3215349124998,578.4808421986518,574.3819801455594,575.5693035103052,48243503.31391427,9182263416.416275
Oct-22-2016,578.517808530245,581.893186665012,575.5182547666764,578.1727894353745,64832172.73232336,9223454838.16769
Oct-21-2016,556.98404022641,579.3125846595004,556.98404022641,578.0944560184269,50906556.80282696,9027917176.35632
Oct-20-2016,555.2492630937827,558.0983110787216,555.1057985211706,557.0438904775609,48956554.4493778,8869665102.512423
Oct-19-2016,554.9526522902843,556.1822228911368,552.9617512887608,555.3628025408192,55863724.755442776,8842355356.658148
Oct-18-2016,561.5009738868074,562.3054316743372,552.7461143544666,554.9764163605943,58439810.79301485,8895839969.727318
Oct-17-2016,562.5861997642957,563.9442723749723,559.7723578094456,561.4736892134885,51461092.109515056,8959146435.966055
Oct-16-2016,564.73200729821,565.345472372508,562.1197198656185,562.5897203673045,42070033.33864358,8977169366.76533
Oct-15-2016,562.1047573028308,565.8471583012739,562.1047573028308,564.5322130774559,32069048.11989531,8992108549.719658
Oct-14-2016,563.6291784056774,565.146558302506,560.9992879580415,561.9533713734489,40980133.79953941,8978228064.308928
Oct-13-2016,560.4676769037001,564.4274751379415,560.4676769037001,563.5710884560308,50665475.08361762,8954947316.87739
Oct-12-2016,559.9448673568809,562.2693454934961,558.9212520320481,560.375261074717,77785549.26272388,8924060598.484646
Oct-11-2016,564.2400030277186,564.4732429770571,559.7450731361267,559.9712718794475,70446913.84184727,8947398287.725056
